Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
不如不见,陈奕迅,陈奕迅,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:08:16.630947113,,,,,,,,,爱情,0,0,,
不说再见,河北工程大学,河北工程大学,河北工程大学毕业歌,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 07:46:15.335691928,,,,,,,,,,0,0,,
不要说话,陈奕迅,陈奕迅,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:37:05.343500137,,,,,,,,,爱情,0,,,
布拉格广场,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:40:15.103564977,,,,,,,,,,0,,,
彩虹,上海彩虹室内合唱团,上海彩虹室内合唱团,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:29:08.076694965,,,,,,,,,,0,,,
沧海一声笑,许冠杰,许冠杰,,,,,,,1990,,,,,,黄霑,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 11:39:07.457507133,,,,,,,,,,0,0,,
曾经的你,许巍,许巍,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:39:28.240414142,,,,,,,,,人生,0,,,
曾经我也想过一了百了,中岛美嘉,中岛美嘉,,,,,,日本,2013,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.000000,,,,,,0,,,,,,2020/01/13 00:47:24.726025104,,,,,,,,,人生,0,0,,
成都,赵雷,赵雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:21:15.242495059,,,,,,,,,,0,,,
处处吻,杨千嬅,杨千嬅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 13:59:35.693155050,,,,,,,,,爱情,0,0,,
春歌,何训田,何训田,,,,,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:46:36.805829048,,,,,,,,,,0,0,,
春节自救指南,上海彩虹室内合唱团,上海彩虹室内合唱团,,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:18:10.521661996,,,,,,,,,诙谐,0,0,,
春天的故事,董文华,董文华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:14:17.471816062,,,,,,,,,,0,0,,
春天里,旭日阳刚,旭日阳刚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:15:58.473436832,,,,,,,,,,0,,,
从头再来,刘欢,刘欢,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:45:07.682077884,,,,,,,,,人生,0,,,
答案,"杨坤,郭采洁","杨坤,郭采洁",,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:22:22.062348842,,,,,,,,,,0,,,
大海,张雨生,张雨生,,,,,,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 11:52:04.036290168,,,,,,,,,爱情,0,0,,
大花轿,火风,火风,,,,,,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:35:34.849751949,,,,,,,,,爱情,0,0,,
大田后生仔,林启得,林启得,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:18:37.740833997,,,,,,,,,人生,0,,,
大田后生仔,丫蛋蛋,丫蛋蛋,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:18:59.532459974,,,,,,,,,人生,0,0,,
大鱼,周深,周深,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:13:39.016160964,,,,,,,,,,0,,,
大中国,高枫,高枫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:42:41.065394878,,,,,,,,,,0,,,
单身情歌,林志炫,林志炫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:10:36.864171981,,,,,,,,,爱情,0,0,,
胆小鬼,梁咏琪,梁咏琪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:30:04.532243967,,,,,,,,,,0,0,,
刀剑如梦,周华健,周华健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 05:08:09.294682979,,,,,,,,,,0,,,
倒带,蔡依林,蔡依林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:03:59.733260154,,,,,,,,,爱情,0,0,,
第一次,光良,光良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:23:21.081467151,,,,,,,,,爱情,0,0,,
第一时间,F4,F4,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:36:04.135740995,,,,,,,,,爱情,0,0,,
定西,李志,李志,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/13 00:47:45.101276874,,,,,,,,,,0,,,
东风破,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:42:30.454030990,,,,,,,,,,0,,,
冬天里的一把火,费翔,费翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:34:24.251048088,,,,,,,,,,0,0,,
懂你,满文军,满文军,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:16:50.260157108,,,,,,,,,,0,,,
发如雪,周杰伦,周杰伦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:43:02.291074991,,,,,,,,,,0,0,,
凡人歌,李宗盛,李宗盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 15:19:40.318694114,,,,,,,,,,0,0,,
放个大招给你看,永彬 Ryan.B,"Ryan.B, 永彬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:46:02.433305978,,,,,,,,,,0,,,
封存的记忆,河北工程大学,河北工程大学,河北工程大学毕业歌,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/21 07:51:00.928836822,,,,,,,,,,0,,,
蜂鸟,吴青峰,吴青峰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/22 14:10:30.915344953,,,,,,,,,,0,,,
浮夸,陈奕迅,陈奕迅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/02/25 04:54:55.627280950,,,,,,,,,,0,,,
父亲,筷子兄弟,筷子兄弟,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,,2020/01/12 20:53:28.235721111,,,,,,,,,亲情,0,0,,
